namespace,concept,unit,period_kind,partition,raw_rows,invalid_rows,unique_keys,unique_admissible,duplicates,conflicting_rows,ambiguous_keys,publications,first_filed,last_filed,first_start,last_start,first_end,last_end,duration_min_days,duration_max_days,assets_with_raw_rows,assets_with_admissible_facts
us-gaap,NetCashProvidedByUsedInOperatingActivities,USD,flow_with_start,validation_filed_2023,945302,0,19709,19709,925593,0,0,8836,2023-01-05,2023-12-29,2019-01-01,2023-09-04,2019-03-31,2023-11-30,36,371,2202,2202
us-gaap,PaymentsOfDividends,USD,flow_with_start,development_filed_through_2022,2000233,78,40732,40732,1959423,0,0,18220,2009-04-15,2022-12-29,1996-06-01,2022-09-14,2007-09-30,2022-11-30,2,6502,759,759
us-gaap,PaymentsOfDividends,USD,flow_with_start,validation_filed_2023,188868,0,3942,3942,184926,0,0,1750,2023-01-04,2023-12-22,2019-11-01,2023-09-04,2020-03-31,2023-11-30,2,821,489,489
us-gaap,PaymentsOfDividends,USD,stock_without_start,development_filed_through_2022,16774,180,351,351,16243,0,0,138,2014-05-01,2022-11-09,,,2012-09-12,2022-10-26,,,38,38
us-gaap,PaymentsOfDividends,USD,stock_without_start,validation_filed_2023,5247,36,103,103,5108,0,0,30,2023-02-01,2023-11-15,,,2020-01-10,2023-09-15,,,17,16
us-gaap,PaymentsRelatedToTaxWithholdingForShareBasedCompensation,USD,flow_with_start,development_filed_through_2022,1972295,0,40352,40352,1931943,0,0,18501,2011-05-31,2022-12-29,1991-02-14,2022-09-01,2009-06-30,2022-11-30,18,8630,941,941
us-gaap,PaymentsRelatedToTaxWithholdingForShareBasedCompensation,USD,flow_with_start,validation_filed_2023,311424,0,6720,6720,304704,0,0,3017,2023-01-05,2023-12-22,2019-07-01,2023-09-04,2020-06-30,2023-11-30,36,371,832,832
us-gaap,PaymentsToAcquirePropertyPlantAndEquipment,CAD,flow_with_start,development_filed_through_2022,7715,0,236,236,7479,0,0,81,2011-04-04,2022-11-09,2004-03-22,2022-07-01,2008-12-31,2022-09-30,31,3207,5,5
us-gaap,PaymentsToAcquirePropertyPlantAndEquipment,CAD,flow_with_start,validation_filed_2023,922,0,31,31,891,0,0,12,2023-02-09,2023-11-09,2020-01-01,2023-07-01,2020-12-31,2023-09-30,90,366,3,3
us-gaap,PaymentsToAcquirePropertyPlantAndEquipment,CNY,flow_with_start,development_filed_through_2022,1530,0,51,51,1479,0,0,24,2012-01-31,2018-09-28,2010-07-01,2017-07-01,2010-09-30,2018-06-30,92,366,1,1
us-gaap,PaymentsToAcquirePropertyPlantAndEquipment,CNY,stock_without_start,development_filed_through_2022,160,0,2,2,158,0,0,2,2019-08-08,2019-11-12,,,2018-01-31,2018-01-31,,,1,1
us-gaap,PaymentsToAcquirePropertyPlantAndEquipment,ILS,flow_with_start,development_filed_through_2022,224,0,4,4,220,0,0,2,2012-03-30,2012-05-17,2007-01-31,2012-01-01,2010-12-31,2012-03-31,91,1886,1,1
us-gaap,PaymentsToAcquirePropertyPlantAndEquipment,USD,flow_with_start,development_filed_through_2022,7501246,47,147190,147190,7354009,0,0,65072,2009-04-15,2022-12-29,1967-05-26,2022-09-02,2006-12-31,2022-12-01,2,16961,1796,1796
us-gaap,PaymentsToAcquirePropertyPlantAndEquipment,USD,flow_with_start,validation_filed_2023,680431,0,14143,14143,666288,0,0,6332,2023-01-04,2023-12-28,2019-01-01,2023-09-04,2019-12-31,2023-11-30,2,371,1622,1622
us-gaap,PaymentsToAcquirePropertyPlantAndEquipment,USD,stock_without_start,development_filed_through_2022,2327,0,37,37,2290,0,0,37,2014-08-11,2022-02-28,,,2014-05-08,2020-10-08,,,12,12
us-gaap,PaymentsToAcquirePropertyPlantAndEquipment,USD,stock_without_start,validation_filed_2023,93,0,2,2,91,0,0,2,2023-03-01,2023-11-08,,,2020-02-26,2023-07-26,,,2,2
us-gaap,ProceedsFromSaleOfPropertyPlantAndEquipment,CAD,flow_with_start,development_filed_through_2022,830,0,26,26,804,0,0,11,2012-03-05,2022-11-09,2004-03-22,2022-04-01,2009-12-31,2022-09-30,183,3207,4,4
us-gaap,ProceedsFromSaleOfPropertyPlantAndEquipment,CAD,flow_with_start,validation_filed_2023,160,0,8,8,152,0,0,4,2023-02-09,2023-11-09,2020-04-01,2023-04-01,2021-03-31,2023-09-30,91,365,1,1
us-gaap,ProceedsFromSaleOfPropertyPlantAndEquipment,CNY,flow_with_start,development_filed_through_2022,1230,0,41,41,1189,0,0,20,2012-02-14,2022-10-28,2011-07-01,2020-07-01,2011-12-31,2021-06-30,92,366,1,1
us-gaap,ProceedsFromSaleOfPropertyPlantAndEquipment,CNY,flow_with_start,validation_filed_2023,150,0,5,5,145,0,0,2,2023-03-24,2023-10-30,2020-07-01,2022-07-01,2021-06-30,2023-06-30,184,365,1,1
us-gaap,ProceedsFromSaleOfPropertyPlantAndEquipment,GBP,flow_with_start,development_filed_through_2022,106,0,2,2,104,0,0,2,2017-04-07,2018-04-10,2016-12-03,2016-12-03,2016-12-31,2016-12-31,29,29,1,1
us-gaap,ProceedsFromSaleOfPropertyPlantAndEquipment,USD,flow_with_start,development_filed_through_2022,2593822,141,50949,50949,2542732,0,0,23895,2009-05-11,2022-12-29,1984-01-31,2022-09-01,2007-09-30,2022-11-30,2,10678,1154,1154
us-gaap,ProceedsFromSaleOfPropertyPlantAndEquipment,USD,flow_with_start,validation_filed_2023,226830,0,4622,4622,222208,0,0,2144,2023-01-04,2023-12-29,2019-01-01,2023-08-01,2019-12-31,2023-11-30,31,371,691,691
us-gaap,ProceedsFromSaleOfPropertyPlantAndEquipment,USD,stock_without_start,development_filed_through_2022,1890,0,27,27,1863,0,0,26,2013-02-27,2022-12-14,,,2012-11-30,2021-12-22,,,9,9
